"~id","~start_node_id","~end_node_id","~relationship_type"
"1179945301394325782","278","208","Chua"
"1182197101208011030","278","209","Chua"
"1184448901021696278","278","210","Chua"
"1186700700835381526","278","211","Chua"
"1188952500649066774","278","212","Chua"
"6919783026478022869","278","213","Chua"
"6919783026478022870","278","214","Chua"
"6919783026478022871","278","215","Chua"
"6919783026478022872","278","216","Chua"
"6919783026478022873","278","217","Chua"
"6919783026478022874","278","218","Chua"
"6919783026478022875","278","219","Chua"
"1152923703630102807","279","234","Chua"
"1155175503443788055","279","235","Chua"
"1157427303257473303","279","236","Chua"
"1159679103071158551","279","237","Chua"
"1161930902884843799","279","238","Chua"
